file name,seconds,Gun Label,Gun Probability_Vision,Gun Probability_Gemini,Anomaly label,Anomaly score
Robbery041,0,1,0.95,0.95,1,1
Robbery041,5,1,0.9,0.8,1,0.9
Robbery041,10,1,0.97,0.8,1,0.9
Robbery041,15,1,0.97,0.95,1,0.95
Robbery041,20,1,0.94,0,1,0.65
Robbery041,25,0,0.88,0,0,0.65
Robbery041,30,0,97,0,0,0.6
Robbery041,35,1,0.9,0,1,0.65
Robbery041,40,1,0.95,0,1,0.9
atm1,0,0,0,1,1,0.8
atm1,5,0,0,0,1,0.9
atm1,10,0,0,0,1,0.95
atm1,15,0,0,0,1,0.8
atm1,20,0,0,0,1,0.8
atm1,25,0,0.84,0,1,0.9
atm1,30,0,0.84,0,1,0.7
atm1,35,0,0,0,1,1
Roberry008,0,1,0.84,0,1,0.9
Roberry008,5,1,0.84,0,1,0.95
Roberry008,10,0,0.93,0,1,0.95
Roberry008,15,0,0.9,0,1,0.9
Roberry008,20,1,0.9,0.8,1,0.9
Roberry008,25,1,0.9,0,1,0.95
Roberry008,30,1,0.9,0,1,0.9
Roberry008,35,1,0,0,1,0.8
Roberry008,40,1,0.98,0,1,0.95
Roberry008,45,1,0.93,0,1,0.9
Roberry008,50,1,0.8,0,1,0.9
Roberry008,55,0,0.93,0,1,0.8
Roberry008,60,0,0.9,0,1,0.8
Roberry008,65,1,0.84,0,1,0.9
atm5,0,0,0.98,0,0,0.8
atm5,5,0,0.98,0,0,0.8
atm5,10,0,0.97,0,1,0.9
atm5,15,0,0.95,0,1,0.9
atm5,20,0,0.89,0,1,0.9
atm5,25,0,0.95,0,1,1
atm5,30,0,0.98,0.8,1,0.95
atm5,35,0,0.98,0,1,1
atm5,40,0,0.97,0,1,0.95
atm5,45,0,0.95,0,1,0.9
atm5,50,0,0.95,0,1,0.98
atm5,55,0,0.9,0,1,0.95
atm5,60,0,0.86,0,1,1
atm5,65,0,0.86,0,1,0.8
atm5,70,0,0.9,0,1,0.8
Robbery131,0,0,0.93,0,0,0.9
Roberry131,5,0,0.98,0,0,0.9
Roberry131,10,0,0.95,0,0,0.05
Roberry131,15,1,0.96,0,1,0.1
Roberry131,20,1,0.94,0,1,0.9
Roberry131,25,1,0.9,0,1,0.9
Roberry131,30,1,0.96,0,1,0.8
Roberry131,35,1,0.98,1,1,0.95
Roberry131,40,1,0.98,0,1,0.8
Roberry131,45,1,0.95,1,1,0.98
Normal 048,0,0,0,0,0,0.05
Normal 048,5,0,0,0,0,0.05
Normal 048,10,0,0,0,0,0.05
Normal 048,15,0,0,0,0,0.01
Normal 048,20,0,0.8,0,0,0.05
Normal 048,25,0,0.9,0,0,0.01
Normal 048,30,0,0.9,0,0,0.05
Normal 048,35,0,0,0,0,0.05
Normal 048,40,0,0.9,0,0,0.05
Normal 048,45,0,0.93,0,0,0.05
Normal 048,50,0,0.9,0,0,0.05
Robbery053,0,0,0,0,0,0.9
Robbery053,5,0,0,0,0,0.05
Robbery053,10,0,0.95,0,0,0.01
Robbery053,15,0,0.95,0,0,0.9
Robbery053,20,1,0.93,0,1,0.98
Robbery053,25,1,0.93,0,1,0.9
Robbery053,30,1,0.9,0,1,0.1
Robbery053,35,0,0.89,0,0,0.1
Robbery053,40,1,0.99,0,1,0.1
Robbery053,45,1,0.9,0,1,0.8
Robbery053,50,0,0.93,0,0,0.9
Robbery053,55,0,0.9,0,0,0.1
Normal 597,0,0,0.94,0,0,0.05
Normal 597,5,0,0.97,0,0,0.05
Normal 597,10,0,0.99,0,0,0.05
Normal 597,15,0,0.99,0,0,0.05
Normal 597,20,0,0.99,0,0,0.05
Normal 597,25,0,0.95,0,0,0.05
Normal 597,30,0,0.99,0,0,0.01
Normal 597,35,0,0.99,0,0,0.05
Normal 597,40,0,0.97,0,0,0.05
Normal 597,45,0,0.97,0,0,0.01
Normal 597,50,0,0.99,0,0,0.01
Normal 597,55,0,1,0,0,0.01
Normal 597,60,0,0.99,0,0,0.05
Normal 597,65,0,0.86,0,0,0.05
shooting054,0,1,0.97,1,1,0.9
shooting054,5,1,0.99,1,1,1
shooting054,10,0,0,0,1,0.9
shooting054,15,0,0,0,0,1
shooting054,20,0,0,0,0,1
